Time,Driver,DriverNumber,LapTime,LapNumber,TotalSeconds,TyreLife,Position,SpeedI1,SpeedI2,SpeedFL,SpeedST,Sector1TimeTotal,Sector2TimeTotal,Sector3TimeTotal
0 days 01:22:36.525000,BOT,77,0 days 00:01:31.227000,11.0,91.227,8.0,13.0,217.0,275.0,276.0,327.0,33.484,30.655,27.088
0 days 01:24:07.814000,BOT,77,0 days 00:01:31.289000,12.0,91.289,9.0,11.0,216.0,277.0,275.0,296.0,33.943,30.604,26.742
0 days 01:25:38.956000,BOT,77,0 days 00:01:31.142000,13.0,91.142,10.0,8.0,210.0,278.0,274.0,298.0,33.838,30.684,26.62
0 days 01:27:09.401000,BOT,77,0 days 00:01:30.445000,14.0,90.445,11.0,6.0,217.0,277.0,274.0,303.0,33.466,30.349,26.63
0 days 01:28:40.375000,BOT,77,0 days 00:01:30.974000,15.0,90.974,12.0,5.0,218.0,276.0,273.0,290.0,33.599,30.469,26.906
0 days 01:30:10.441000,BOT,77,0 days 00:01:30.066000,16.0,90.066,13.0,5.0,221.0,278.0,273.0,298.0,33.274,30.214,26.578
0 days 01:31:40.703000,BOT,77,0 days 00:01:30.262000,17.0,90.262,14.0,5.0,223.0,278.0,272.0,293.0,33.317,30.345,26.6
0 days 01:33:11.989000,BOT,77,0 days 00:01:31.286000,18.0,91.286,15.0,5.0,221.0,280.0,273.0,296.0,34.076,30.308,26.902
0 days 01:34:42.432000,BOT,77,0 days 00:01:30.443000,19.0,90.443,16.0,3.0,217.0,278.0,274.0,292.0,33.365,30.231,26.847
0 days 01:36:13.063000,BOT,77,0 days 00:01:30.631000,20.0,90.631,17.0,4.0,223.0,278.0,274.0,291.0,33.773,30.322,26.536
0 days 01:37:47.367000,BOT,77,0 days 00:01:34.304000,21.0,94.304,18.0,7.0,220.0,278.0,,295.0,33.343,30.248,30.713
0 days 01:39:40.324000,BOT,77,0 days 00:01:52.957000,22.0,112.957,1.0,15.0,227.0,276.0,273.0,174.0,56.402,30.085,26.47
0 days 01:41:08.981000,BOT,77,0 days 00:01:28.657000,23.0,88.657,2.0,14.0,229.0,276.0,273.0,295.0,32.765,29.556,26.336
0 days 01:42:37.507000,BOT,77,0 days 00:01:28.526000,24.0,88.526,3.0,14.0,,276.0,274.0,292.0,32.843,29.508,26.175
0 days 01:44:05.832000,BOT,77,0 days 00:01:28.325000,25.0,88.325,4.0,14.0,230.0,277.0,275.0,,32.548,29.538,26.239
0 days 01:45:34.212000,BOT,77,0 days 00:01:28.380000,26.0,88.38,5.0,12.0,228.0,277.0,276.0,291.0,32.994,29.513,25.873
0 days 01:47:02.133000,BOT,77,0 days 00:01:27.921000,27.0,87.921,6.0,9.0,,277.0,275.0,299.0,32.436,29.541,25.944
0 days 01:48:30.082000,BOT,77,0 days 00:01:27.949000,28.0,87.949,7.0,9.0,230.0,277.0,275.0,292.0,32.32,29.532,26.097
0 days 01:49:57.803000,BOT,77,0 days 00:01:27.721000,29.0,87.721,8.0,9.0,229.0,278.0,275.0,298.0,32.473,29.351,25.897
0 days 01:51:25.810000,BOT,77,0 days 00:01:28.007000,30.0,88.007,9.0,9.0,230.0,278.0,275.0,296.0,32.477,29.453,26.077
0 days 01:52:53.869000,BOT,77,0 days 00:01:28.059000,31.0,88.059,10.0,9.0,232.0,278.0,276.0,,32.419,29.468,26.172
0 days 01:54:22.037000,BOT,77,0 days 00:01:28.168000,32.0,88.168,11.0,7.0,226.0,279.0,276.0,297.0,32.665,29.45,26.053
0 days 01:55:52.717000,BOT,77,0 days 00:01:30.680000,33.0,90.68,12.0,8.0,229.0,280.0,284.0,298.0,34.172,30.381,26.127
0 days 01:57:20.838000,BOT,77,0 days 00:01:28.121000,34.0,88.121,13.0,8.0,226.0,280.0,277.0,316.0,32.46,29.561,26.1
0 days 01:58:49.073000,BOT,77,0 days 00:01:28.235000,35.0,88.235,14.0,8.0,,278.0,275.0,296.0,32.506,29.476,26.253
