Time,Driver,DriverNumber,LapTime,LapNumber,TotalSeconds,TyreLife,Position,SpeedI1,SpeedI2,SpeedFL,SpeedST,Sector1TimeTotal,Sector2TimeTotal,Sector3TimeTotal
0 days 01:45:15.052000,PER,11,0 days 00:01:28.391000,26.0,88.391,15.0,5.0,233.0,278.0,277.0,304.0,32.591,30.07,25.73
0 days 01:46:43.026000,PER,11,0 days 00:01:27.974000,27.0,87.974,16.0,4.0,234.0,278.0,277.0,300.0,32.628,29.697,25.649
0 days 01:48:11.153000,PER,11,0 days 00:01:28.127000,28.0,88.127,17.0,3.0,232.0,278.0,277.0,298.0,32.704,29.808,25.615
0 days 01:49:39.471000,PER,11,0 days 00:01:28.318000,29.0,88.318,18.0,3.0,229.0,274.0,277.0,296.0,32.685,29.777,25.856
0 days 01:51:07.474000,PER,11,0 days 00:01:28.003000,30.0,88.003,19.0,3.0,233.0,275.0,277.0,295.0,32.505,29.72,25.778
0 days 01:52:39.489000,PER,11,0 days 00:01:32.015000,31.0,92.015,20.0,4.0,234.0,275.0,,294.0,32.579,29.586,29.85
0 days 01:54:35.294000,PER,11,0 days 00:01:55.805000,32.0,115.805,7.0,12.0,233.0,275.0,277.0,175.0,59.871,29.925,26.009
0 days 01:56:03.348000,PER,11,0 days 00:01:28.054000,33.0,88.054,8.0,12.0,230.0,275.0,276.0,297.0,32.731,29.499,25.824
0 days 01:57:30.635000,PER,11,0 days 00:01:27.287000,34.0,87.287,9.0,12.0,234.0,276.0,277.0,298.0,32.372,29.161,25.754
0 days 01:58:58.085000,PER,11,0 days 00:01:27.450000,35.0,87.45,10.0,12.0,,274.0,277.0,297.0,32.365,29.256,25.829
0 days 02:00:25.659000,PER,11,0 days 00:01:27.574000,36.0,87.574,11.0,11.0,232.0,277.0,278.0,,32.481,29.367,25.726
0 days 02:01:53.057000,PER,11,0 days 00:01:27.398000,37.0,87.398,12.0,11.0,,275.0,278.0,299.0,32.287,29.279,25.832
0 days 02:03:20.133000,PER,11,0 days 00:01:27.076000,38.0,87.076,13.0,11.0,235.0,277.0,279.0,301.0,32.183,29.246,25.647
0 days 02:04:47.596000,PER,11,0 days 00:01:27.463000,39.0,87.463,14.0,10.0,224.0,275.0,280.0,299.0,32.196,29.511,25.756
0 days 02:06:14.852000,PER,11,0 days 00:01:27.256000,40.0,87.256,15.0,9.0,234.0,276.0,279.0,,32.238,29.349,25.669
0 days 02:07:42.003000,PER,11,0 days 00:01:27.151000,41.0,87.151,16.0,9.0,230.0,276.0,279.0,,32.098,29.333,25.72
0 days 02:09:08.738000,PER,11,0 days 00:01:26.735000,42.0,86.735,17.0,9.0,235.0,276.0,280.0,296.0,32.044,29.225,25.466
0 days 02:10:39.685000,PER,11,0 days 00:01:30.947000,43.0,90.947,18.0,9.0,229.0,276.0,,298.0,32.128,29.385,29.434
0 days 02:12:35.101000,PER,11,0 days 00:01:55.416000,44.0,115.416,1.0,13.0,230.0,278.0,279.0,174.0,59.873,29.739,25.804
0 days 02:14:04.589000,PER,11,0 days 00:01:29.488000,45.0,89.488,2.0,12.0,228.0,278.0,279.0,298.0,32.293,31.263,25.932
0 days 02:15:31.781000,PER,11,0 days 00:01:27.192000,46.0,87.192,3.0,12.0,232.0,277.0,280.0,,32.177,29.314,25.701
0 days 02:16:58.468000,PER,11,0 days 00:01:26.687000,47.0,86.687,4.0,12.0,231.0,276.0,280.0,,32.078,29.228,25.381
0 days 02:18:24.912000,PER,11,0 days 00:01:26.444000,48.0,86.444,5.0,12.0,,279.0,280.0,300.0,31.972,29.039,25.433
0 days 02:19:51.305000,PER,11,0 days 00:01:26.393000,49.0,86.393,6.0,12.0,234.0,278.0,280.0,,31.954,29.134,25.305
0 days 02:21:17.525000,PER,11,0 days 00:01:26.220000,50.0,86.22,7.0,12.0,236.0,279.0,280.0,,31.755,29.085,25.38
0 days 02:22:44.005000,PER,11,0 days 00:01:26.480000,51.0,86.48,8.0,12.0,237.0,278.0,281.0,302.0,31.835,29.202,25.443
0 days 02:24:11.768000,PER,11,0 days 00:01:27.763000,52.0,87.763,9.0,12.0,231.0,283.0,291.0,303.0,32.496,29.599,25.668
0 days 02:25:39.359000,PER,11,0 days 00:01:27.591000,53.0,87.591,10.0,10.0,227.0,278.0,288.0,322.0,32.757,29.588,25.246
0 days 02:27:06.372000,PER,11,0 days 00:01:27.013000,54.0,87.013,11.0,10.0,230.0,278.0,281.0,323.0,32.055,29.457,25.501
0 days 02:28:34.380000,PER,11,0 days 00:01:28.008000,55.0,88.008,12.0,11.0,229.0,275.0,280.0,308.0,33.113,29.563,25.332
0 days 02:30:01.225000,PER,11,0 days 00:01:26.845000,56.0,86.845,13.0,11.0,232.0,277.0,281.0,298.0,32.216,29.351,25.278
0 days 02:31:28.408000,PER,11,0 days 00:01:27.183000,57.0,87.183,14.0,11.0,,276.0,283.0,,32.224,29.517,25.442
0 days 01:04:41.330000,STR,18,0 days 00:02:07.271000,1.0,127.271,9.0,13.0,204.0,97.0,243.0,264.0,,37.222,48.875
0 days 01:07:05.718000,STR,18,0 days 00:02:24.388000,2.0,144.388,10.0,13.0,138.0,134.0,187.0,262.0,51.861,46.793,45.734
0 days 01:09:31.765000,STR,18,0 days 00:02:26.047000,3.0,146.047,11.0,16.0,74.0,160.0,,119.0,55.06,44.245,46.742
0 days 01:11:54.588000,STR,18,0 days 00:02:22.823000,4.0,142.823,1.0,17.0,220.0,86.0,282.0,173.0,57.966,39.37,45.487
0 days 01:13:28.911000,STR,18,0 days 00:01:34.323000,5.0,94.323,2.0,17.0,216.0,278.0,278.0,319.0,35.195,31.464,27.664
0 days 01:15:01.725000,STR,18,0 days 00:01:32.814000,6.0,92.814,3.0,17.0,221.0,279.0,278.0,313.0,34.342,31.037,27.435
0 days 01:16:33.751000,STR,18,0 days 00:01:32.026000,7.0,92.026,4.0,17.0,226.0,279.0,287.0,312.0,34.206,30.818,27.002
0 days 01:18:04.608000,STR,18,0 days 00:01:30.857000,8.0,90.857,5.0,16.0,,275.0,278.0,335.0,33.615,30.399,26.843
0 days 01:19:35.414000,STR,18,0 days 00:01:30.806000,9.0,90.806,6.0,16.0,227.0,279.0,278.0,312.0,33.434,30.366,27.006
0 days 01:21:06.412000,STR,18,0 days 00:01:30.998000,10.0,90.998,7.0,15.0,228.0,279.0,279.0,313.0,33.539,30.478,26.981
0 days 01:22:37.343000,STR,18,0 days 00:01:30.931000,11.0,90.931,8.0,14.0,,280.0,284.0,,33.468,30.456,27.007
0 days 01:24:08.749000,STR,18,0 days 00:01:31.406000,12.0,91.406,9.0,12.0,224.0,280.0,284.0,332.0,33.873,30.581,26.952
0 days 01:25:39.816000,STR,18,0 days 00:01:31.067000,13.0,91.067,10.0,10.0,,278.0,283.0,329.0,33.548,30.706,26.813
0 days 01:27:11.195000,STR,18,0 days 00:01:31.379000,14.0,91.379,11.0,7.0,226.0,277.0,277.0,331.0,33.41,30.754,27.215
0 days 01:28:41.832000,STR,18,0 days 00:01:30.637000,15.0,90.637,12.0,6.0,225.0,281.0,278.0,310.0,33.438,30.448,26.751
0 days 01:30:11.892000,STR,18,0 days 00:01:30.060000,16.0,90.06,13.0,6.0,227.0,279.0,278.0,309.0,33.382,30.169,26.509
0 days 01:31:42.875000,STR,18,0 days 00:01:30.983000,17.0,90.983,14.0,7.0,225.0,278.0,278.0,308.0,34.015,30.206,26.762
0 days 01:33:13.598000,STR,18,0 days 00:01:30.723000,18.0,90.723,15.0,7.0,,277.0,276.0,310.0,33.353,30.265,27.105
0 days 01:34:44.131000,STR,18,0 days 00:01:30.533000,19.0,90.533,16.0,5.0,223.0,279.0,279.0,315.0,33.766,30.167,26.6
0 days 01:36:14.481000,STR,18,0 days 00:01:30.350000,20.0,90.35,17.0,5.0,225.0,279.0,280.0,311.0,33.266,30.26,26.824
0 days 01:37:49.705000,STR,18,0 days 00:01:35.224000,21.0,95.224,18.0,10.0,224.0,278.0,,309.0,34.113,30.435,30.676
0 days 01:39:41.816000,STR,18,0 days 00:01:52.111000,22.0,112.111,1.0,16.0,224.0,278.0,278.0,178.0,55.625,29.981,26.505
0 days 01:41:10.338000,STR,18,0 days 00:01:28.522000,23.0,88.522,2.0,15.0,230.0,278.0,280.0,309.0,32.809,29.418,26.295
0 days 01:42:38.756000,STR,18,0 days 00:01:28.418000,24.0,88.418,3.0,15.0,,280.0,279.0,310.0,32.69,29.47,26.258
0 days 01:44:06.923000,STR,18,0 days 00:01:28.167000,25.0,88.167,4.0,15.0,233.0,279.0,280.0,311.0,32.622,29.516,26.029
0 days 01:45:35.227000,STR,18,0 days 00:01:28.304000,26.0,88.304,5.0,13.0,231.0,280.0,285.0,,32.821,29.485,25.998
0 days 01:47:03.363000,STR,18,0 days 00:01:28.136000,27.0,88.136,6.0,10.0,233.0,280.0,280.0,329.0,32.462,29.638,26.036
0 days 01:48:31.357000,STR,18,0 days 00:01:27.994000,28.0,87.994,7.0,10.0,234.0,279.0,280.0,312.0,32.527,29.51,25.957
0 days 01:49:59.957000,STR,18,0 days 00:01:28.600000,29.0,88.6,8.0,10.0,,280.0,279.0,,32.552,30.117,25.931
0 days 01:51:27.797000,STR,18,0 days 00:01:27.840000,30.0,87.84,9.0,10.0,233.0,280.0,281.0,310.0,32.481,29.57,25.789
0 days 01:52:57.074000,STR,18,0 days 00:01:29.277000,31.0,89.277,10.0,11.0,230.0,280.0,280.0,,33.414,29.857,26.006
0 days 01:54:25.017000,STR,18,0 days 00:01:27.943000,32.0,87.943,11.0,9.0,232.0,278.0,279.0,312.0,32.512,29.628,25.803
0 days 01:55:53.836000,STR,18,0 days 00:01:28.819000,33.0,88.819,12.0,9.0,231.0,280.0,286.0,310.0,32.927,29.859,26.033
0 days 01:57:22.041000,STR,18,0 days 00:01:28.205000,34.0,88.205,13.0,9.0,,280.0,282.0,331.0,32.494,29.814,25.897
0 days 01:58:50.118000,STR,18,0 days 00:01:28.077000,35.0,88.077,14.0,9.0,232.0,279.0,282.0,313.0,32.598,29.645,25.834
0 days 02:00:19.714000,STR,18,0 days 00:01:29.596000,36.0,89.596,15.0,9.0,225.0,280.0,280.0,,33.561,30.204,25.831
0 days 02:01:49.211000,STR,18,0 days 00:01:29.497000,37.0,89.497,16.0,10.0,231.0,279.0,286.0,312.0,32.59,30.653,26.254
0 days 02:03:17.628000,STR,18,0 days 00:01:28.417000,38.0,88.417,17.0,10.0,233.0,280.0,281.0,329.0,32.865,29.719,25.833
0 days 02:04:49.574000,STR,18,0 days 00:01:31.946000,39.0,91.946,18.0,11.0,235.0,280.0,,313.0,32.418,30.026,29.502
0 days 02:06:41.216000,STR,18,0 days 00:01:51.642000,40.0,111.642,1.0,14.0,233.0,281.0,280.0,179.0,55.867,29.819,25.956
0 days 02:08:08.669000,STR,18,0 days 00:01:27.453000,41.0,87.453,2.0,13.0,235.0,280.0,280.0,309.0,32.4,29.265,25.788
0 days 02:09:35.824000,STR,18,0 days 00:01:27.155000,42.0,87.155,3.0,13.0,234.0,281.0,281.0,310.0,32.38,29.241,25.534
0 days 02:11:02.874000,STR,18,0 days 00:01:27.050000,43.0,87.05,4.0,13.0,237.0,280.0,282.0,309.0,32.245,29.175,25.63
0 days 02:12:30.003000,STR,18,0 days 00:01:27.129000,44.0,87.129,5.0,12.0,234.0,281.0,282.0,311.0,32.276,29.088,25.765
0 days 02:13:57.349000,STR,18,0 days 00:01:27.346000,45.0,87.346,6.0,10.0,,281.0,282.0,312.0,32.457,29.373,25.516
0 days 02:15:24.688000,STR,18,0 days 00:01:27.339000,46.0,87.339,7.0,10.0,,281.0,281.0,311.0,32.407,29.397,25.535
0 days 02:16:51.775000,STR,18,0 days 00:01:27.087000,47.0,87.087,8.0,10.0,236.0,281.0,282.0,312.0,32.298,29.259,25.53
0 days 02:18:18.830000,STR,18,0 days 00:01:27.055000,48.0,87.055,9.0,10.0,234.0,281.0,280.0,,32.21,29.261,25.584
0 days 02:19:45.926000,STR,18,0 days 00:01:27.096000,49.0,87.096,10.0,10.0,,281.0,280.0,311.0,32.275,29.273,25.548
0 days 02:21:14.535000,STR,18,0 days 00:01:28.609000,50.0,88.609,11.0,10.0,232.0,283.0,280.0,310.0,32.512,30.606,25.491
0 days 02:22:41.392000,STR,18,0 days 00:01:26.857000,51.0,86.857,12.0,10.0,234.0,279.0,282.0,308.0,32.148,29.365,25.344
0 days 02:24:11.444000,STR,18,0 days 00:01:30.052000,52.0,90.052,13.0,11.0,228.0,279.0,283.0,,34.326,30.18,25.546
0 days 02:25:38.668000,STR,18,0 days 00:01:27.224000,53.0,87.224,14.0,9.0,233.0,279.0,281.0,314.0,32.656,29.269,25.299
0 days 02:27:05.205000,STR,18,0 days 00:01:26.537000,54.0,86.537,15.0,9.0,234.0,280.0,279.0,308.0,32.03,29.112,25.395
0 days 02:28:31.557000,STR,18,0 days 00:01:26.352000,55.0,86.352,16.0,9.0,232.0,279.0,280.0,,31.983,29.099,25.27
0 days 02:29:58.175000,STR,18,0 days 00:01:26.618000,56.0,86.618,17.0,9.0,233.0,279.0,282.0,306.0,32.068,29.255,25.295
0 days 02:31:24.879000,STR,18,0 days 00:01:26.704000,57.0,86.704,18.0,9.0,232.0,278.0,283.0,308.0,32.02,29.184,25.5
0 days 01:04:33.787000,GAS,10,0 days 00:01:59.728000,1.0,119.728,8.0,7.0,210.0,233.0,206.0,246.0,,31.778,48.815
0 days 01:06:56.457000,GAS,10,0 days 00:02:22.670000,2.0,142.67,9.0,7.0,179.0,164.0,206.0,262.0,52.235,46.776,43.659
0 days 01:09:22.736000,GAS,10,0 days 00:02:26.279000,3.0,146.279,10.0,7.0,95.0,141.0,234.0,108.0,56.702,43.725,45.852
0 days 01:11:50.896000,GAS,10,0 days 00:02:28.160000,4.0,148.16,11.0,7.0,83.0,96.0,275.0,209.0,48.411,46.604,53.145
0 days 01:13:23.495000,GAS,10,0 days 00:01:32.599000,5.0,92.599,12.0,7.0,232.0,280.0,274.0,305.0,34.364,31.051,27.184
0 days 01:14:54.423000,GAS,10,0 days 00:01:30.928000,6.0,90.928,13.0,7.0,227.0,282.0,277.0,295.0,33.781,30.219,26.928
0 days 01:16:25.017000,GAS,10,0 days 00:01:30.594000,7.0,90.594,14.0,7.0,,277.0,282.0,296.0,33.589,30.197,26.808
0 days 01:17:55.467000,GAS,10,0 days 00:01:30.450000,8.0,90.45,15.0,7.0,,279.0,280.0,313.0,33.225,30.271,26.954
0 days 01:19:25.689000,GAS,10,0 days 00:01:30.222000,9.0,90.222,16.0,7.0,,281.0,276.0,314.0,33.21,30.308,26.704
0 days 01:20:56.105000,GAS,10,0 days 00:01:30.416000,10.0,90.416,17.0,6.0,225.0,279.0,273.0,297.0,33.536,30.124,26.756
0 days 01:22:30.258000,GAS,10,0 days 00:01:34.153000,11.0,94.153,18.0,7.0,223.0,280.0,,299.0,33.46,29.967,30.726
0 days 01:24:23.865000,GAS,10,0 days 00:01:53.607000,12.0,113.607,6.0,17.0,224.0,277.0,275.0,173.0,56.291,30.588,26.728
0 days 01:25:53.045000,GAS,10,0 days 00:01:29.180000,13.0,89.18,7.0,17.0,226.0,278.0,277.0,294.0,33.225,29.741,26.214
0 days 01:27:22.018000,GAS,10,0 days 00:01:28.973000,14.0,88.973,8.0,15.0,228.0,279.0,277.0,298.0,33.05,29.679,26.244
0 days 01:28:50.757000,GAS,10,0 days 00:01:28.739000,15.0,88.739,9.0,14.0,,281.0,284.0,299.0,33.021,29.595,26.123
0 days 01:30:20.198000,GAS,10,0 days 00:01:29.441000,16.0,89.441,10.0,14.0,229.0,281.0,285.0,316.0,33.143,29.969,26.329
0 days 01:31:50.829000,GAS,10,0 days 00:01:30.631000,17.0,90.631,11.0,14.0,224.0,283.0,283.0,317.0,33.591,30.573,26.467
0 days 01:33:20.727000,GAS,10,0 days 00:01:29.898000,18.0,89.898,12.0,12.0,,277.0,286.0,319.0,33.176,30.209,26.513
0 days 01:34:49.834000,GAS,10,0 days 00:01:29.107000,19.0,89.107,13.0,9.0,,280.0,276.0,312.0,33.083,29.851,26.173
0 days 01:36:19.107000,GAS,10,0 days 00:01:29.273000,20.0,89.273,14.0,9.0,229.0,273.0,277.0,292.0,33.223,29.936,26.114
0 days 01:37:48.706000,GAS,10,0 days 00:01:29.599000,21.0,89.599,15.0,8.0,227.0,275.0,278.0,299.0,33.58,29.934,26.085
0 days 01:39:17.661000,GAS,10,0 days 00:01:28.955000,22.0,88.955,16.0,7.0,226.0,276.0,278.0,,33.231,29.807,25.917
0 days 01:40:47.332000,GAS,10,0 days 00:01:29.671000,23.0,89.671,17.0,8.0,224.0,282.0,279.0,305.0,33.907,29.816,25.948
0 days 01:42:16.310000,GAS,10,0 days 00:01:28.978000,24.0,88.978,18.0,8.0,227.0,271.0,277.0,298.0,33.167,29.729,26.082
0 days 01:43:44.875000,GAS,10,0 days 00:01:28.565000,25.0,88.565,19.0,6.0,228.0,276.0,279.0,300.0,32.846,29.713,26.006
0 days 01:45:17.524000,GAS,10,0 days 00:01:32.649000,26.0,92.649,20.0,6.0,227.0,280.0,,302.0,32.728,29.609,30.312
0 days 01:47:11.379000,GAS,10,0 days 00:01:53.855000,27.0,113.855,1.0,14.0,226.0,277.0,276.0,175.0,57.633,30.12,26.102
0 days 01:48:38.965000,GAS,10,0 days 00:01:27.586000,28.0,87.586,2.0,13.0,230.0,280.0,277.0,294.0,32.628,29.187,25.771
0 days 01:50:06.347000,GAS,10,0 days 00:01:27.382000,29.0,87.382,3.0,13.0,231.0,271.0,277.0,296.0,32.416,29.114,25.852
0 days 01:51:33.806000,GAS,10,0 days 00:01:27.459000,30.0,87.459,4.0,13.0,230.0,279.0,278.0,297.0,32.552,29.211,25.696
0 days 01:53:01.012000,GAS,10,0 days 00:01:27.206000,31.0,87.206,5.0,13.0,231.0,279.0,279.0,296.0,32.447,29.131,25.628
0 days 01:54:28.410000,GAS,10,0 days 00:01:27.398000,32.0,87.398,6.0,11.0,232.0,281.0,278.0,295.0,32.341,29.363,25.694
0 days 01:55:56.372000,GAS,10,0 days 00:01:27.962000,33.0,87.962,7.0,11.0,,278.0,278.0,301.0,32.562,29.606,25.794
0 days 01:57:24.030000,GAS,10,0 days 00:01:27.658000,34.0,87.658,8.0,11.0,230.0,282.0,279.0,296.0,32.608,29.277,25.773
0 days 01:58:51.681000,GAS,10,0 days 00:01:27.651000,35.0,87.651,9.0,11.0,231.0,280.0,279.0,297.0,32.412,29.331,25.908
0 days 02:00:20.227000,GAS,10,0 days 00:01:28.546000,36.0,88.546,10.0,10.0,229.0,282.0,286.0,295.0,32.638,29.988,25.92
0 days 02:01:48.233000,GAS,10,0 days 00:01:28.006000,37.0,88.006,11.0,9.0,230.0,277.0,279.0,317.0,32.748,29.566,25.692
0 days 02:03:15.994000,GAS,10,0 days 00:01:27.761000,38.0,87.761,12.0,9.0,,283.0,284.0,291.0,32.8,29.262,25.699
0 days 02:04:44.112000,GAS,10,0 days 00:01:28.118000,39.0,88.118,13.0,8.0,231.0,282.0,283.0,315.0,32.765,29.438,25.915
0 days 02:06:10.770000,GAS,10,0 days 00:01:26.658000,40.0,86.658,14.0,8.0,233.0,281.0,279.0,310.0,32.025,29.04,25.593
0 days 02:07:37.536000,GAS,10,0 days 00:01:26.766000,41.0,86.766,15.0,8.0,234.0,280.0,278.0,293.0,32.216,29.143,25.407
0 days 02:09:04.170000,GAS,10,0 days 00:01:26.634000,42.0,86.634,16.0,8.0,233.0,280.0,279.0,294.0,32.097,29.097,25.44
0 days 02:10:31.527000,GAS,10,0 days 00:01:27.357000,43.0,87.357,17.0,7.0,235.0,281.0,278.0,,32.136,29.794,25.427
0 days 02:12:02.582000,GAS,10,0 days 00:01:31.055000,44.0,91.055,18.0,6.0,234.0,281.0,,291.0,32.143,28.94,29.972
0 days 02:13:59.997000,GAS,10,0 days 00:01:57.415000,45.0,117.415,1.0,11.0,227.0,281.0,276.0,178.0,62.021,29.544,25.85
0 days 02:15:26.977000,GAS,10,0 days 00:01:26.980000,46.0,86.98,2.0,11.0,235.0,281.0,279.0,292.0,32.268,29.251,25.461
0 days 02:16:55.817000,GAS,10,0 days 00:01:28.840000,47.0,88.84,3.0,11.0,234.0,283.0,274.0,295.0,32.143,29.03,27.667
0 days 02:18:22.315000,GAS,10,0 days 00:01:26.498000,48.0,86.498,4.0,11.0,235.0,283.0,280.0,297.0,32.241,28.887,25.37
0 days 02:19:48.625000,GAS,10,0 days 00:01:26.310000,49.0,86.31,5.0,11.0,236.0,282.0,280.0,,31.95,28.923,25.437
0 days 02:21:15.144000,GAS,10,0 days 00:01:26.519000,50.0,86.519,6.0,11.0,233.0,283.0,286.0,295.0,31.953,29.123,25.443
0 days 02:22:41.767000,GAS,10,0 days 00:01:26.623000,51.0,86.623,7.0,11.0,234.0,285.0,287.0,314.0,32.117,29.156,25.35
0 days 02:24:10.825000,GAS,10,0 days 00:01:29.058000,52.0,89.058,8.0,10.0,230.0,280.0,270.0,330.0,32.91,29.559,26.589
0 days 02:25:40.131000,GAS,10,0 days 00:01:29.306000,53.0,89.306,9.0,11.0,232.0,284.0,286.0,292.0,34.154,29.661,25.491
0 days 02:27:06.833000,GAS,10,0 days 00:01:26.702000,54.0,86.702,10.0,11.0,238.0,285.0,287.0,317.0,32.014,29.193,25.495
0 days 02:28:32.626000,GAS,10,0 days 00:01:25.793000,55.0,85.793,11.0,10.0,235.0,283.0,279.0,329.0,31.823,28.847,25.123
0 days 02:29:58.956000,GAS,10,0 days 00:01:26.330000,56.0,86.33,12.0,10.0,234.0,283.0,285.0,297.0,32.07,29.007,25.253
0 days 02:31:25.527000,GAS,10,0 days 00:01:26.571000,57.0,86.571,13.0,10.0,232.0,284.0,285.0,315.0,31.907,29.335,25.329
0 days 01:04:38.472000,ALB,23,0 days 00:02:04.413000,1.0,124.413,1.0,11.0,210.0,122.0,230.0,267.0,,33.436,49.878
0 days 01:07:02.611000,ALB,23,0 days 00:02:24.139000,2.0,144.139,2.0,11.0,136.0,133.0,166.0,254.0,52.646,46.617,44.876
0 days 01:09:26.161000,ALB,23,0 days 00:02:23.550000,3.0,143.55,3.0,10.0,75.0,211.0,250.0,96.0,55.973,43.391,44.186
0 days 01:11:51.780000,ALB,23,0 days 00:02:25.619000,4.0,145.619,4.0,10.0,108.0,82.0,282.0,256.0,47.747,47.305,50.567
0 days 01:13:24.837000,ALB,23,0 days 00:01:33.057000,5.0,93.057,5.0,10.0,219.0,275.0,280.0,321.0,34.714,31.088,27.255
0 days 01:14:57.547000,ALB,23,0 days 00:01:32.710000,6.0,92.71,6.0,10.0,224.0,273.0,279.0,311.0,34.064,31.701,26.945
0 days 01:16:28.273000,ALB,23,0 days 00:01:30.726000,7.0,90.726,7.0,10.0,223.0,273.0,287.0,310.0,33.6,30.626,26.5
0 days 01:17:58.887000,ALB,23,0 days 00:01:30.614000,8.0,90.614,8.0,10.0,225.0,276.0,287.0,331.0,33.598,30.441,26.575
0 days 01:19:29.937000,ALB,23,0 days 00:01:31.050000,9.0,91.05,9.0,9.0,224.0,276.0,284.0,332.0,33.747,30.56,26.743
0 days 01:21:00.182000,ALB,23,0 days 00:01:30.245000,10.0,90.245,10.0,9.0,,274.0,286.0,327.0,33.068,30.603,26.574
0 days 01:22:30.703000,ALB,23,0 days 00:01:30.521000,11.0,90.521,11.0,8.0,,276.0,286.0,328.0,33.426,30.648,26.447
0 days 01:24:02.396000,ALB,23,0 days 00:01:31.693000,12.0,91.693,12.0,7.0,220.0,276.0,280.0,329.0,33.595,31.355,26.743
0 days 01:25:33.048000,ALB,23,0 days 00:01:30.652000,13.0,90.652,13.0,4.0,222.0,273.0,284.0,311.0,33.576,30.465,26.611
0 days 01:27:02.683000,ALB,23,0 days 00:01:29.635000,14.0,89.635,14.0,3.0,221.0,274.0,276.0,324.0,32.934,30.175,26.526
0 days 01:28:32.090000,ALB,23,0 days 00:01:29.407000,15.0,89.407,15.0,2.0,222.0,274.0,277.0,303.0,33.035,30.114,26.258
0 days 01:30:01.091000,ALB,23,0 days 00:01:29.001000,16.0,89.001,16.0,2.0,232.0,278.0,276.0,,32.908,29.87,26.223
0 days 01:31:30.035000,ALB,23,0 days 00:01:28.944000,17.0,88.944,17.0,2.0,,279.0,276.0,,32.791,29.968,26.185
0 days 01:33:03.064000,ALB,23,0 days 00:01:33.029000,18.0,93.029,18.0,2.0,,282.0,,,32.773,29.859,30.397
0 days 01:34:57.342000,ALB,23,0 days 00:01:54.278000,19.0,114.278,1.0,14.0,230.0,279.0,278.0,175.0,56.925,30.377,26.976
0 days 01:36:27.508000,ALB,23,0 days 00:01:30.166000,20.0,90.166,2.0,15.0,,279.0,280.0,308.0,33.775,30.153,26.238
0 days 01:37:56.712000,ALB,23,0 days 00:01:29.204000,21.0,89.204,3.0,13.0,,278.0,289.0,306.0,33.023,29.929,26.252
0 days 01:39:26.758000,ALB,23,0 days 00:01:30.046000,22.0,90.046,4.0,10.0,232.0,279.0,283.0,332.0,33.388,30.117,26.541
0 days 01:40:55.819000,ALB,23,0 days 00:01:29.061000,23.0,89.061,5.0,10.0,229.0,278.0,278.0,324.0,32.813,29.987,26.261
0 days 01:42:24.124000,ALB,23,0 days 00:01:28.305000,24.0,88.305,6.0,10.0,236.0,277.0,278.0,297.0,32.6,29.514,26.191
0 days 01:43:52.482000,ALB,23,0 days 00:01:28.358000,25.0,88.358,7.0,10.0,233.0,280.0,279.0,307.0,32.585,29.708,26.065
0 days 01:45:20.984000,ALB,23,0 days 00:01:28.502000,26.0,88.502,8.0,7.0,,280.0,278.0,,32.608,29.838,26.056
0 days 01:46:49.235000,ALB,23,0 days 00:01:28.251000,27.0,88.251,9.0,5.0,229.0,274.0,281.0,306.0,32.659,29.764,25.828
0 days 01:48:17.698000,ALB,23,0 days 00:01:28.463000,28.0,88.463,10.0,4.0,228.0,275.0,281.0,,32.629,29.965,25.869
0 days 01:49:47.347000,ALB,23,0 days 00:01:29.649000,29.0,89.649,11.0,5.0,222.0,277.0,281.0,,33.396,30.091,26.162
0 days 01:51:15.673000,ALB,23,0 days 00:01:28.326000,30.0,88.326,12.0,5.0,231.0,277.0,280.0,308.0,32.63,29.669,26.027
0 days 01:52:47.848000,ALB,23,0 days 00:01:32.175000,31.0,92.175,13.0,6.0,234.0,283.0,,307.0,32.537,29.557,30.081
0 days 01:54:41.803000,ALB,23,0 days 00:01:53.955000,32.0,113.955,1.0,15.0,221.0,281.0,279.0,178.0,57.095,30.582,26.278
0 days 01:56:09.733000,ALB,23,0 days 00:01:27.930000,33.0,87.93,2.0,15.0,235.0,282.0,288.0,309.0,32.485,29.546,25.899
0 days 01:57:38.180000,ALB,23,0 days 00:01:28.447000,34.0,88.447,3.0,15.0,232.0,282.0,290.0,331.0,32.6,29.895,25.952
0 days 01:59:05.838000,ALB,23,0 days 00:01:27.658000,35.0,87.658,4.0,14.0,229.0,273.0,283.0,330.0,32.075,29.737,25.846
0 days 02:00:33.093000,ALB,23,0 days 00:01:27.255000,36.0,87.255,5.0,13.0,230.0,276.0,283.0,309.0,32.321,29.314,25.62
0 days 02:02:00.383000,ALB,23,0 days 00:01:27.290000,37.0,87.29,6.0,13.0,235.0,278.0,281.0,,32.201,29.381,25.708
0 days 02:03:27.993000,ALB,23,0 days 00:01:27.610000,38.0,87.61,7.0,13.0,234.0,282.0,281.0,311.0,32.265,29.508,25.837
0 days 02:04:55.402000,ALB,23,0 days 00:01:27.409000,39.0,87.409,8.0,12.0,,280.0,279.0,,32.35,29.33,25.729
0 days 02:06:22.361000,ALB,23,0 days 00:01:26.959000,40.0,86.959,9.0,10.0,235.0,281.0,280.0,297.0,32.176,29.09,25.693
